depth_ice_m,gas_age_ka_bp,cap_delta17_modern_air_relative_ppm,cap_delta17_1sigma_ppm
3145.17,742.882,13,9
3146.81,744.869,47,5
3146.82,744.887,31,4
3148.47,746.877,40,10
3150.67,749.527,33,10
3152.43,751.690,18,7
3154.67,754.729,25,4
3157.79,758.691,26,0
3158.87,759.958,17,19
3160.57,761.995,36,1
3164.40,767.175,38,5
3166.07,769.340,20,1
3166.62,770.089,-4,1
3167.17,770.903,28,1
3168.73,773.033,6,8
3171.02,775.922,27,4
3172.67,777.937,17,6
3174.48,779.991,1,6
3176.52,782.332,12,6
3178.72,784.693,22,3
3180.37,786.424,0,8
3182.02,788.090,-3,6
3183.12,789.156,17,4
3184.22,790.266,59,8
3185.32,791.600,45,3
3186.42,793.051,24,7
3187.52,794.628,33,2
3188.62,796.297,51,6
